count,deep,Source,Target,Weight
1237,303,9972400,9972400,0
1238,300,9972328,9976888,285
1239,301,9972328,9972184,-9
1240,302,9972328,9972352,1
1241,303,9972352,9972352,0
1242,303,9972016,9972184,10
1243,304,9971896,9972184,18
1244,305,9971896,9971920,1
1245,306,9971920,9971920,0
1246,306,9971944,9972184,15
1247,307,9971968,9972184,13
1248,308,9972184,9972184,0
1249,304,9972448,9976888,277
1250,305,9972472,9976888,276
1251,306,9972496,9976888,274
1252,307,9972544,9976888,271
1253,308,9976888,9976888,0
1254,303,9977056,9978760,106
1255,304,9977056,9978952,118
1256,305,9977152,9978952,112
1257,306,9977152,9978160,63
1258,307,9977152,9977464,19
1259,308,9977440,9977464,1
1260,309,9977176,9977464,18
1261,310,9977464,9977464,0
1262,308,9977200,9978160,60
1263,309,9977104,9978160,66
1264,310,9977104,9977320,13
1265,311,9976960,9977320,22
1266,312,9977320,9977320,0
1267,311,9977224,9978160,58
1268,312,9977224,9977824,37
1269,313,9977224,9978064,52
1270,314,9977224,9977344,7
1271,315,9977272,9977344,4
1272,316,9977128,9977344,13
1273,317,9977248,9977344,6
1274,318,9977344,9977344,0
1275,315,9977296,9978064,48
1276,316,9977488,9978064,36
1277,317,9977488,9977032,-29
1278,318,9977488,9976768,-45
1279,319,9977368,9976768,-38
1280,320,9977392,9976768,-39
1281,321,9977392,9977416,1
1282,322,9977416,9977416,0
1283,322,9976816,9976768,-3
1284,323,9976744,9976768,1
1285,324,9976768,9976768,0
1286,320,9976984,9977032,3
1287,321,9977008,9977032,1
1288,322,9977032,9977032,0
1289,320,9978232,9978064,-11
1290,321,9977800,9978064,16
1291,322,9977704,9978064,22
1292,323,9977920,9978064,9
1293,324,9978064,9978064,0
1294,318,9978016,9977824,-12
1295,319,9978016,9977608,-26
1296,320,9978016,9977992,-2
1297,321,9978016,9978016,0
1298,322,9978256,9977992,-17
1299,323,9978256,9978088,-11
1300,324,9977536,9978088,34
1301,325,9978088,9978088,0
1302,324,9977992,9977992,0
1303,323,9977608,9977608,0
1304,323,9977656,9977824,10
1305,324,9977968,9977824,-9
1306,325,9977824,9977824,0
1307,322,9977632,9978160,33
1308,323,9977632,9977728,6
1309,324,9977728,9977728,0
1310,324,9977752,9978160,25
1311,325,9978184,9978160,-2
1312,326,9978160,9978160,0
1313,320,9977848,9978952,69
1314,321,9977872,9978952,67
1315,322,9977872,9977872,0
1316,323,9977944,9978952,63
1317,324,9978928,9978952,1
1318,325,9978928,9978856,-5
1319,326,9979024,9978856,-11
1320,327,9978568,9978856,18
1321,328,9978856,9978856,0
1322,320,9978304,9978760,28
1323,321,9978304,9978520,13
1324,322,9978304,9978448,9
1325,323,9978304,9978784,30
1326,324,9978304,9978616,19
1327,325,9978304,9978736,27
1328,326,9978904,9978736,-11
1329,327,9978976,9978736,-15
1330,328,9978280,9978736,28
1331,329,9978592,9978736,9
1332,330,9978736,9978736,0
1333,326,9978328,9978616,18
1334,327,9978616,9978616,0
1335,326,9978376,9978784,25
1336,327,9978784,9978784,0
1337,326,9978424,9978448,1
1338,327,9978448,9978448,0
1339,326,9978496,9978520,1
1340,327,9978520,9978520,0
1341,326,9978832,9978760,-5
1342,327,9978544,9978760,13
1343,328,9978712,9978760,3
1344,329,9978640,9978760,7
1345,330,9978664,9978760,6
1346,331,9978664,9978688,1
1347,332,9978688,9978688,0
1348,322,9979744,9976360,-212
1349,323,9979744,9979312,-27
1350,324,9979480,9979312,-11
1351,325,9979480,9979552,4
1352,326,9979480,9979480,0
1353,327,9979408,9979552,9
1354,328,9979552,9979552,0
1355,327,9979096,9979312,13
1356,328,9979192,9979312,7
1357,329,9979456,9979312,-9
1358,330,9979264,9979312,3
1359,331,9979312,9979312,0
1360,326,9979120,9976360,-173
1361,327,9979120,9976048,-192
1362,328,9979120,9979168,3
1363,329,9979120,9979360,15
1364,330,9979504,9979360,-9
1365,331,9979288,9979360,4
1366,332,9979768,9979360,-26
1367,333,9979792,9979360,-27
1368,334,9979360,9979360,0
1369,330,9979432,9979168,-17
1370,331,9979432,9979672,15
1371,332,9979624,9979672,3
1372,333,9979672,9979672,0
1373,332,9979168,9979168,0
1374,331,9979048,9976048,-188
1375,332,9979048,9979144,6
1376,333,9979696,9979144,-35
1377,334,9979072,9979144,4
1378,335,9979216,9979144,-5
1379,336,9979144,9979144,0
1380,333,9979984,9976048,-246
1381,334,9979984,9979816,-11
1382,335,9979960,9979816,-9
1383,336,9979912,9979816,-6
1384,337,9979864,9979816,-3
1385,338,9979936,9979816,-8
1386,339,9979888,9979816,-5
1387,340,9979816,9979816,0
1388,335,9976528,9976048,-30
